created_at,text
928327203594690561,2017-11-08 18:23:47,b'RT @NashvilleCream: What to expect from @therealkurtvile and @courtneymelba when they hit @TheRyman tomorrow night. https://t.co/N8ips4gDgg\xe2\x80\xa6'
928319135964172288,2017-11-08 17:51:44,"b'Advice King @thecroftonshow on eating fruit: ""Turtles live to be 300 years old, and I don\xe2\x80\x99t think they eat any frui\xe2\x80\xa6 https://t.co/5KzdGBTono'"
928313574359003137,2017-11-08 17:29:38,"b""RT @NashvilleCream: Feel like donating to Hurricane Maria relief while also watching a bitchin' rock show? Catch @boytoyband, @TRUEMUSICBAN\xe2\x80\xa6"""
928312744096468993,2017-11-08 17:26:20,b'RT @BitesBlog: Better Know a Chef: Rahaf Amer of @Saltandvine https://t.co/pIHUSTGzbw https://t.co/0jGQMzy0As'
928304890778091521,2017-11-08 16:55:07,b'RT @pithinthewind: Metro Councilmember sues city over Fort Negley\nhttps://t.co/6oAY6uMgWn https://t.co/cYMU0n94gU'
928268958481965057,2017-11-08 14:32:20,"b'Last night, the Metro Council voted for a $250M plan to build a soccer stadium if Nashville gets an MLS franchise.\xe2\x80\xa6 https://t.co/jK71S4VaAn'"
928259061023428608,2017-11-08 13:53:01,"b'RT @pithinthewind: On Tuesday night, the Metro Council approved a $275 million soccer stadium project. Nashville will find out next month w\xe2\x80\xa6'"
928102039556689926,2017-11-08 03:29:04,b'RT @scavendish: Statement from MLS2Nashville lead investor John Ingram: https://t.co/MBe3uvsRbU'
928097240375316481,2017-11-08 03:09:59,b'Metro Council approves soccer stadium. Nashville will learn next month whether it is getting a Major League Soccer\xe2\x80\xa6 https://t.co/HEEWoHEbnQ'
928096468283600896,2017-11-08 03:06:55,b'RT @scavendish: #BREAKING: Resolution in support of the stadium passes 31-6. Nashville commits to $250 million plan with team covering $225\xe2\x80\xa6'
928080843800825856,2017-11-08 02:04:50,"b""RT @scavendish: We're through the consent agenda. Stadium vote at heart of Nashville's @MLS bid now on council floor."""
928065210312773632,2017-11-08 01:02:43,"b'RT @scavendish: This is the scene outside the Council chambers. There\xe2\x80\x99s a bunch of STRP folks, but mostly soccer stadium supporters https:/\xe2\x80\xa6'"
928056382800220160,2017-11-08 00:27:38,"b'RT @scavendish: At the Metro Council meeting for the vote on the proposed soccer stadium. Gallery is already full, standing room outside. L\xe2\x80\xa6'"
928007832292745216,2017-11-07 21:14:43,"b""RT @pithinthewind: The Metro Council votes on a soccer stadium tonight. Here's what you need to know.\nhttps://t.co/iIQWvZORY8 https://t.co/\xe2\x80\xa6"""
927994422075252737,2017-11-07 20:21:26,b'Legislators to allow guns in their office building \xe2\x80\x94 what could go wrong?\nhttps://t.co/a2FOfPILPO https://t.co/Vs5y4yktu3'
927980831213309952,2017-11-07 19:27:25,b'RT @BitesBlog: Reminder: Les Dames (@lesdamesnashtn) and @MargotCafe to host famed cookbook author @Joan_Nathan.     \nhttps://t.co/mOvqhav9\xe2\x80\xa6'
927969576440254464,2017-11-07 18:42:42,"b""In this month's Art Crawl Confidential, Marlos E'van and Bryce McCloud were MVPs @isleofprinting @marlosevan2\xe2\x80\xa6 https://t.co/azkcyIdF3x"""
927943736591552513,2017-11-07 17:00:01,b'In his new memoir @JMBlaine writes about being a psychotherapist for a late-night crisis hotline in a Southern town\xe2\x80\xa6 https://t.co/7WZoTAKp9p'
927928632680513538,2017-11-07 16:00:00,b'Nashville\xe2\x80\x99s new boutique hotel from @21cHotels is also an impressive art space. https://t.co/qUr3qMtWGw https://t.co/X3xqs5Llss'
927927933032976385,2017-11-07 15:57:13,"b""RT @NashvilleCream: Before Tuesday's show @canneryballroom, @Japandroids' David Prowse talks getting 'vaguely wiser' over a decade.\nhttps:/\xe2\x80\xa6"""
927903779193843712,2017-11-07 14:21:15,"b""Here's what you need to know before tonight's Metro Council vote on a Nashville soccer stadium.\xe2\x80\xa6 https://t.co/HBfv0gapsV"""
927666583266357248,2017-11-06 22:38:43,b'Norf Art Collective and @MayorMeganBarry unveiled a mural of civil rights luminaries\nin North Nashville today.\xe2\x80\xa6 https://t.co/J3OG9UKwaM'
927616256462786560,2017-11-06 19:18:44,"b""The @Belcourt will screen 'Tommy' tonight as part of the ongoing Music City Monday series. https://t.co/Rp9j9cQjlm https://t.co/rJJuOucs3q"""
927615975482159104,2017-11-06 19:17:37,b'RT @BitesBlog: The James Beard Award nominations are now open \xe2\x80\x94 and you can submit your favorites! #jbfa https://t.co/VzW8uVOw7D https://t.\xe2\x80\xa6'
927609412897918976,2017-11-06 18:51:32,"b""RT @BitesBlog: Hemingway's Bar &amp; Hideaway now serves weekend brunch. https://t.co/IrmliZmTKx https://t.co/kpnJ6Tg5vk"""
927600814134300673,2017-11-06 18:17:22,b'RT @pithinthewind: Podcast: Democrat @James_Mackler talks about the race to succeed Bob Corker (and why he thinks Dems have a chance). http\xe2\x80\xa6'
927592083170394112,2017-11-06 17:42:41,"b""RT @pithinthewind: Why don't the Rev. David O. Jones' friends know more about his secessionist views?\nhttps://t.co/Ljd1O9eslX https://t.co/\xe2\x80\xa6"""
927567001110933504,2017-11-06 16:03:01,b'Artist Richard Feaster shows us around his upstairs studio in the Downtown Presbyterian Church\xe2\x80\xa6 https://t.co/ZcCKObqdzW'
927561967820263424,2017-11-06 15:43:01,"b""RT @NashvilleCream: We talk with Tim Hibbs about using records to find common ground with a huge variety of folks on 'The Vinyl Lunch.'\nhtt\xe2\x80\xa6"""
926907634854322177,2017-11-04 20:22:55,"b'RT @NashvillePost: With Tuesday vote looming, MLS backers reiterate need for ""essential"" 10-acre private development at site https://t.co/f\xe2\x80\xa6'"
926903918185021442,2017-11-04 20:08:09,b'Listen to it on our site or via iTunes \nhttps://t.co/18kHLVLt0H\n\nAlso on Stitcher or TuneIn (available on your Amaz\xe2\x80\xa6 https://t.co/w61IofqEyp'
926883746233556992,2017-11-04 18:48:00,"b""Planning to attend tonight's art crawl? Joe Nolan has highlights.  \n\nhttps://t.co/PrYtmVvgtt https://t.co/dEgzzE9Npe"""
926846639087681537,2017-11-04 16:20:33,"b'We also have @funkseoultruck and @GrlldCheeserie. Hey #CraftyBastards, get ready for some good eats! https://t.co/1xY2tztrtp'"
926839928188743681,2017-11-04 15:53:53,"b""#CraftyBastards is happening NOW. We're in the Gulch until 4, so come hungry for @DoseCoffee, @SmokeEtAl &amp;\xe2\x80\xa6 https://t.co/KbL8PwPxYp"""
926834714681384960,2017-11-04 15:33:10,b'Thanks #Popwell for sponsoring us! Come by and sample their delicious half-popped corn at #CraftyBastards TODAY in\xe2\x80\xa6 https://t.co/fyhVqs9iAO'
926826383807889408,2017-11-04 15:00:04,b'Nashville\xe2\x80\x99s Jamie Blaine returns with new adventures in late-night psychiatric counseling. https://t.co/eEC9aMTrSj https://t.co/1fjJ7fonVg'
926584518370308096,2017-11-03 22:58:58,"b'PODCAST: While you\'re waiting for the @PredsNHL game tonight, check out new episode of ""It\'s All Your Fault""\xe2\x80\xa6 https://t.co/jNFGAk2joU'"
926539501291409408,2017-11-03 20:00:06,"b""This week's Cheap Eats discovery: Dobladas Chicharr\xc3\xb3n con Papa, $2.99 at Antigua Cocina Guatemalteca in Antioch.\xe2\x80\xa6 https://t.co/KxoSPEMkqG"""
926526923169320960,2017-11-03 19:10:07,"b'RT @JasonIsbell: If you don\xe2\x80\x99t like what singers have to say when they ain\xe2\x80\x99t singin,\xe2\x80\x99 I found you some headphones https://t.co/RjBj2jOmKr'"
926512688519409664,2017-11-03 18:13:33,"b""RT @TheRyanAdams: Updated #CMA topics:\n-Grandpas'rockinchair\n-Butter beans\n-Randy\n-Jumpin over crazy stuff\n-Mustard &amp; relish\n-Meatgas\n-Dust\xe2\x80\xa6"""
926500256199700480,2017-11-03 17:24:09,"b'CMA issues apology, lifts awards ceremony media guidelines. https://t.co/5CXZAaZgRo https://t.co/w9GCTJ7VN0'"
926494195472388096,2017-11-03 17:00:04,"b""'The Killing of a Sacred Deer' \xe2\x80\x94\xc2\xa0opening today at the @Belcourt \xe2\x80\x94 is driven by uncertainty. https://t.co/ddlFJK6sK4 https://t.co/AdpgjJ2H75"""
926483328219435008,2017-11-03 16:16:53,"b""RT @BitesBlog: Grayton Beer teams with Nelson's Green Brier (@TNWhiskeyCo) on a delicious new beer project. https://t.co/cKqkPgnWR6 https:/\xe2\x80\xa6"""
926477500775051264,2017-11-03 15:53:43,"b'RT @NashvilleCream: Hear @ChrisStapleton\'s ominous ""Scarecrow in the Dirt"" from the forthcoming \'From A Room: Vol. 2\' [Fresh Track] https:/\xe2\x80\xa6'"
926470580429258752,2017-11-03 15:26:14,"b""RT @BradPaisley: I'm sure the CMA will do the right thing and rescind these ridiculous and unfair press guidelines. In 3...2....1....."""
926468646637056000,2017-11-03 15:18:32,"b'You can subscribe and download on iTunes, Stitcher, Soundcloud or TuneIn. https://t.co/lSasOSM9NV'"
926465250236469248,2017-11-03 15:05:03,"b""RT @NashvilleCream: Before Friday's show,  @jessicamayfield discusses recovering from domestic violence and making 'Sorry Is Gone.'\nhttps:/\xe2\x80\xa6"""
926453522496983040,2017-11-03 14:18:27,"b""RT @NashvilleScene: PODCAST: This week we sit down with @James_Mackler to talk about his run for Bob Corker's U.S. Senate seat. \nhttps://t.\xe2\x80\xa6"""
926453468071710723,2017-11-03 14:18:14,"b""PODCAST: This week we sit down with @James_Mackler to talk about his run for Bob Corker's U.S. Senate seat.\xe2\x80\xa6 https://t.co/qI1KLVnDcK"""
926255852205551616,2017-11-03 01:12:58,"b""RT @TheRyanAdams: Approved topics:\n-Wagon Wheels\n-Bacon\n-Repurposed barn wood\n-Cussin' at snakes\n-Cammo bedsheets\n-Chewin on dirt clogs\n-Sh\xe2\x80\xa6"""
926243334762434561,2017-11-03 00:23:14,"b""RT @hilmonstah: @CountryMusic Not a single one of the artists you're celebrating should tolerate dismissing their fans and *your viewers* a\xe2\x80\xa6"""
926243263387963392,2017-11-03 00:22:57,b'RT @hilmonstah: @CountryMusic You know who else makes this genre great? People who buy tickets for concerts and festivals and show up. And\xe2\x80\xa6'
926243157506973697,2017-11-03 00:22:32,"b""RT @hilmonstah: Bet you'll hear freedom name-checked during the CMAs plenty, hilariously enough. Disappointed in you, @CountryMusic. https:\xe2\x80\xa6"""
926228921951162368,2017-11-02 23:25:58,"b""RT @iamstevenhale: First comment from Dolly. But there are a lot of allegations and they're still coming out. Our story from yesterday: htt\xe2\x80\xa6"""
926222931658723328,2017-11-02 23:02:09,"b'RT @1025TheGame: Coming up at 6 pm: Special Edition of Nashville Soccer Insiders with @BradenGall, @JulianCouncil &amp; @scavendish. Tune in!'"
926203264491700224,2017-11-02 21:44:00,b'Post a photo of your tailgate setup using #CheerstoGameday &amp; you could win a stay at @hotelindigo from our partners\xe2\x80\xa6 https://t.co/ndFUQu3szK'
